ID,Date,Company,Title,Location,Link
21,2024-02-12,Makro Technologies Inc.,AI / ML Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/ai-ml-data-scientist-at-makro-technologies-inc-3828321834?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=bPW1k4ykCjhgSRjAw9%2FbKw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
22,2024-01-31,Akkodis,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-akkodis-3817386230?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=zDItj3ixMofMLA%2BGJSxB0w%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
23,2024-02-20,Google,"Business Data Scientist, Revenue Acceleration, Google Cloud","Chicago, IL",https://www.linkedin.com/jobs/view/business-data-scientist-revenue-acceleration-google-cloud-at-google-3816083341?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=3yo68PspUG%2B%2Fsly3nzGXYg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
24,2024-02-08,Surge Technology Solutions Inc,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-surge-technology-solutions-inc-3825091072?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=RgngUzAhWUjaPv7Lxrudhg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
25,2024-02-21,Selby Jennings,Equities - Data Scientist,Greater Chicago Area,https://www.linkedin.com/jobs/view/equities-data-scientist-at-selby-jennings-3836453753?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=mPn%2FKb%2Bs3DHNpeSeID4ilw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
26,2024-02-23,Allstate,Data Scientist - Insurance Modeling,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-insurance-modeling-at-allstate-3837367075?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=PKjP60VMn3DK2qcRoxgHHg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
27,2024-02-22,BayOne Solutions,Machine Learning Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-bayone-solutions-3687488828?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=VaFoRQcMeZolCNdrZ1ww3Q%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
28,2023-12-16,Strike Social,Senior Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/senior-data-scientist-at-strike-social-3787728787?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=ZGtBONnkn6GzqMNKnLWxsA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
29,2024-01-04,1872 Consulting,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-1872-consulting-3813097214?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=FoFcjN%2FAuipD3femkyGZbA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
30,2024-01-29,ASK Consulting,Machine Learning Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ask-consulting-3816008619?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=x18HyMF8cZTiPRfnP35ZCg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
31,2023-12-15,Gridlines,Machine Learning Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-gridlines-3801784330?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=LIUsX61E8qMLD72oIfADjQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
32,2024-01-04,1872 Consulting,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-1872-consulting-3813099063?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=aMgJPlDecuHs0dvwNYu5Ww%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
33,2024-01-23,University of Chicago,Research Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/research-data-scientist-at-university-of-chicago-3813356973?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=6ZNkG3ymbvqnWth3YKmLCw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
34,2024-01-29,ASK Consulting,Machine Learning Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ask-consulting-3816011491?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=S7dKlOGvU%2BuirJF7qeIGGw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
35,2023-08-30,PSRTEK,NLP - Engineer- Hybrid,"Chicago, IL",https://www.linkedin.com/jobs/view/nlp-engineer-hybrid-at-psrtek-3705247530?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=zuGW4BYI1UF1B4S%2B3DS8OQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
36,2024-01-23,Benchmark Analytics,Associate Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/associate-data-scientist-at-benchmark-analytics-3811731291?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=v1UD6Ujd1Ye63mKAP0Tpyw%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
37,2023-11-14,MindPal,Machine Learning Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-developer-at-mindpal-3765313661?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=XYa23gPXfh0F7EhPMq4Q2w%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
38,2024-01-04,1872 Consulting,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-1872-consulting-3813091990?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=3JmmyJXKpOwPSo22HVTt7Q%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
39,2024-02-26,maven,Machine Learning Engineer,Greater Chicago Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-maven-3838671751?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=MQJL3WTkWpxnAuyjP2H1Jw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
40,2024-02-26,maven,Machine Learning Engineer,Greater Chicago Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-maven-3838671168?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=1p93YUqbCjPIosGCaPx3zA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
41,2024-02-16,"Solve IT Strategies, Inc.",Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-solve-it-strategies-inc-3832366799?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=n4Z1gdmI0YpC1WQzpOOdDQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
42,2023-12-18,University of Chicago,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-university-of-chicago-3789370332?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=Ql5Pl1D0j027o%2BJY2LedbA%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
43,2024-01-30,SPECTRAFORCE,Machine Learning Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-spectraforce-3817748484?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=OCxmrhrERF0XPCNnfZWw5w%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
44,2023-12-16,Fingerprint for Success (F4S),Expression of Interest: Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/expression-of-interest-data-scientist-at-fingerprint-for-success-f4s-3787769939?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=PVn3pZK0CGPzs%2Bfidt6CHA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
45,2024-01-30,Infotree Global Solutions,Machine Learning Specialist,"Chicago, IL",https://www.linkedin.com/jobs/view/machine-learning-specialist-at-infotree-global-solutions-3817449482?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=PTgkagmgDUNjgjn0H3SUxw%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
46,2024-02-13,Publicis Media,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-publicis-media-3829347814?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=75tpSdl%2BtL8ZEiCX4g8YBQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
47,2024-02-23,Alliant Credit Union,Data Scientist - Hybrid,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-hybrid-at-alliant-credit-union-3838914276?refId=r2sQC5oxfswJimfHvsVwaA%3D%3D&trackingId=1u2%2BoGEBS7X9T5aJcz9hPQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
